id,test_day,subage,age,gender,task,item,trial,correct,z_age,z_trial
VP1,1,4,4.399726214921286,m,mutual_exclusivity,carrot,1,1,0.43782311736350765,-4.341243862520458
VP1,1,4,4.399726214921286,m,mutual_exclusivity,garlic,2,1,0.43782311736350765,-3.341243862520458
VP1,1,4,4.399726214921286,m,mutual_exclusivity,eggplant,3,1,0.43782311736350765,-2.341243862520458
VP1,1,4,4.399726214921286,m,mutual_exclusivity,duck,4,1,0.43782311736350765,-1.3412438625204581
VP1,1,4,4.399726214921286,m,mutual_exclusivity,horseshoe,5,1,0.43782311736350765,-0.34124386252045813
VP1,1,4,4.399726214921286,m,simple_inf,bear_ab,1,1,0.43782311736350765,-4.341243862520458
VP1,1,4,4.399726214921286,m,simple_inf,robot_ab,2,0,0.43782311736350765,-3.341243862520458
VP1,1,4,4.399726214921286,m,simple_inf,rocket_a,3,1,0.43782311736350765,-2.341243862520458
VP1,1,4,4.399726214921286,m,simple_inf,truck_ab,4,1,0.43782311736350765,-1.3412438625204581
VP1,1,4,4.399726214921286,m,simple_inf,dino_a,5,1,0.43782311736350765,-0.34124386252045813
VP1,1,4,4.399726214921286,m,discourse_continuity,fruits,1,1,0.43782311736350765,-4.341243862520458
VP1,1,4,4.399726214921286,m,discourse_continuity,vehicles,2,1,0.43782311736350765,-3.341243862520458
VP1,1,4,4.399726214921286,m,discourse_continuity,instruments,3,1,0.43782311736350765,-2.341243862520458
VP1,1,4,4.399726214921286,m,discourse_continuity,mammals,4,1,0.43782311736350765,-1.3412438625204581
VP1,1,4,4.399726214921286,m,discourse_continuity,clothes,5,1,0.43782311736350765,-0.34124386252045813
VP1,1,4,4.399726214921286,m,ad_hoc_implicature,box_inf,1,1,0.43782311736350765,-4.341243862520458
VP1,1,4,4.399726214921286,m,ad_hoc_implicature,chair_dis,2,1,0.43782311736350765,-3.341243862520458
VP1,1,4,4.399726214921286,m,ad_hoc_implicature,table_dis,3,1,0.43782311736350765,-2.341243862520458
VP1,1,4,4.399726214921286,m,ad_hoc_implicature,plate_inf,4,1,0.43782311736350765,-1.3412438625204581
VP1,1,4,4.399726214921286,m,ad_hoc_implicature,house_dis,5,1,0.43782311736350765,-0.34124386252045813
VP1,1,4,4.399726214921286,m,card_sorting,red_rabbit,1,1,0.43782311736350765,-4.341243862520458
VP1,1,4,4.399726214921286,m,card_sorting,blue_boat,2,1,0.43782311736350765,-3.341243862520458
VP1,1,4,4.399726214921286,m,card_sorting,blue_boat,3,1,0.43782311736350765,-2.341243862520458
VP1,1,4,4.399726214921286,m,card_sorting,red_rabbit,4,1,0.43782311736350765,-1.3412438625204581
VP1,1,4,4.399726214921286,m,card_sorting,blue_boat,5,1,0.43782311736350765,-0.34124386252045813
VP1,1,4,4.399726214921286,m,card_sorting,red_rabbit,6,1,0.43782311736350765,0.6587561374795419
VP2,1,4,4.435318275154004,m,mutual_exclusivity,carrot,1,1,0.4734151775962254,-4.341243862520458
VP2,1,4,4.435318275154004,m,mutual_exclusivity,garlic,2,1,0.4734151775962254,-3.341243862520458
VP2,1,4,4.435318275154004,m,mutual_exclusivity,eggplant,3,1,0.4734151775962254,-2.341243862520458
VP2,1,4,4.435318275154004,m,mutual_exclusivity,duck,4,1,0.4734151775962254,-1.3412438625204581
VP2,1,4,4.435318275154004,m,mutual_exclusivity,horseshoe,5,1,0.4734151775962254,-0.34124386252045813
VP2,1,4,4.435318275154004,m,simple_inf,bear_ab,1,1,0.4734151775962254,-4.341243862520458
VP2,1,4,4.435318275154004,m,simple_inf,robot_ab,2,1,0.4734151775962254,-3.341243862520458
VP2,1,4,4.435318275154004,m,simple_inf,rocket_a,3,0,0.4734151775962254,-2.341243862520458
VP2,1,4,4.435318275154004,m,simple_inf,truck_ab,4,0,0.4734151775962254,-1.3412438625204581
VP2,1,4,4.435318275154004,m,simple_inf,dino_a,5,0,0.4734151775962254,-0.34124386252045813
VP2,1,4,4.435318275154004,m,discourse_continuity,fruits,1,1,0.4734151775962254,-4.341243862520458
VP2,1,4,4.435318275154004,m,discourse_continuity,vehicles,2,0,0.4734151775962254,-3.341243862520458
VP2,1,4,4.435318275154004,m,discourse_continuity,instruments,3,1,0.4734151775962254,-2.341243862520458
VP2,1,4,4.435318275154004,m,discourse_continuity,mammals,4,1,0.4734151775962254,-1.3412438625204581
VP2,1,4,4.435318275154004,m,discourse_continuity,clothes,5,1,0.4734151775962254,-0.34124386252045813
VP2,1,4,4.435318275154004,m,ad_hoc_implicature,box_inf,1,1,0.4734151775962254,-4.341243862520458
VP2,1,4,4.435318275154004,m,ad_hoc_implicature,chair_dis,2,1,0.4734151775962254,-3.341243862520458
VP2,1,4,4.435318275154004,m,ad_hoc_implicature,table_dis,3,1,0.4734151775962254,-2.341243862520458
VP2,1,4,4.435318275154004,m,ad_hoc_implicature,plate_inf,4,1,0.4734151775962254,-1.3412438625204581
VP2,1,4,4.435318275154004,m,ad_hoc_implicature,house_dis,5,1,0.4734151775962254,-0.34124386252045813
VP2,1,4,4.435318275154004,m,card_sorting,red_rabbit,1,0,0.4734151775962254,-4.341243862520458
VP2,1,4,4.435318275154004,m,card_sorting,blue_boat,2,0,0.4734151775962254,-3.341243862520458
VP2,1,4,4.435318275154004,m,card_sorting,blue_boat,3,0,0.4734151775962254,-2.341243862520458
VP2,1,4,4.435318275154004,m,card_sorting,red_rabbit,4,0,0.4734151775962254,-1.3412438625204581
VP2,1,4,4.435318275154004,m,card_sorting,blue_boat,5,0,0.4734151775962254,-0.34124386252045813
VP2,1,4,4.435318275154004,m,card_sorting,red_rabbit,6,0,0.4734151775962254,0.6587561374795419
VP3,1,3,3.698836413415469,m,mutual_exclusivity,carrot,1,1,-0.2630666841423097,-4.341243862520458
VP3,1,3,3.698836413415469,m,mutual_exclusivity,garlic,2,0,-0.2630666841423097,-3.341243862520458
VP3,1,3,3.698836413415469,m,mutual_exclusivity,eggplant,3,0,-0.2630666841423097,-2.341243862520458
VP3,1,3,3.698836413415469,m,mutual_exclusivity,duck,4,1,-0.2630666841423097,-1.3412438625204581
VP3,1,3,3.698836413415469,m,mutual_exclusivity,horseshoe,5,0,-0.2630666841423097,-0.34124386252045813
VP3,1,3,3.698836413415469,m,simple_inf,bear_ab,1,1,-0.2630666841423097,-4.341243862520458
VP3,1,3,3.698836413415469,m,simple_inf,robot_ab,2,1,-0.2630666841423097,-3.341243862520458
VP3,1,3,3.698836413415469,m,simple_inf,rocket_a,3,0,-0.2630666841423097,-2.341243862520458
VP3,1,3,3.698836413415469,m,simple_inf,truck_ab,4,1,-0.2630666841423097,-1.3412438625204581
VP3,1,3,3.698836413415469,m,simple_inf,dino_a,5,1,-0.2630666841423097,-0.34124386252045813
VP3,1,3,3.698836413415469,m,discourse_continuity,fruits,1,0,-0.2630666841423097,-4.341243862520458
VP3,1,3,3.698836413415469,m,discourse_continuity,vehicles,2,1,-0.2630666841423097,-3.341243862520458
VP3,1,3,3.698836413415469,m,discourse_continuity,instruments,3,1,-0.2630666841423097,-2.341243862520458
VP3,1,3,3.698836413415469,m,discourse_continuity,mammals,4,0,-0.2630666841423097,-1.3412438625204581
VP3,1,3,3.698836413415469,m,discourse_continuity,clothes,5,0,-0.2630666841423097,-0.34124386252045813
